ID,Folio,Illustration title,Textual elements,Initials,Characters,Costume,Objects,Landscape,Architecture,Other
1,1r,3,,Red and blue puzzle initial with penwork decoration beneath miniature,2,,"Bed and patterned bed cover in blue and white, pillow",,"Tiled floor beneath bed, gold background","Pink and blue frame patterned in white, gold boxes at corners"
2,1v,8,,Red initial with blue penwork decoration,50,Gowns in different colors and white knotted headcloths,,Grassy ground,Stone block crenelated wall against gold ground,"Pink and blue frame patterned in white, gold boxes at corners"
3,2r,11,,Red initial with blue penwork decoration,21,Gowns of different colors,"Bench, chest, garment hanging from rod upon wall",Grassy ground,Stone block crenelated wall against gold background,"Pink and blue frame patterned in white, gold boxes at corners"
