ID,Folio,Illustration title,Textual elements,Initials,Characters,Costume,Objects,Landscape,Architecture,Other
1,1r,3,,,"2,26","Bare torso, tonsure","Bed covers, pillow",Open roses on a swirling vine,,Damage to miniature
2,1r,38,,,83,Blue cote,Comb,Trees,"Round, crenellated, stone block walls of garden",Damage to miniature
