ID,Folio,Illustration title,Textual elements,Initials,Characters,Costume,Objects,Landscape,Architecture,Other
1,1r,3,,,2,"Bare torso, tonsure",Birds,Rose bush with open red roses amid leafy vines,,Scene within barbed quatrefoil
2,1r,Inhabited foliate bar border,,,"Old woman, young woman, lovers",,"Benches, birds",Rose bushes with open red roses amid leafy vines,,Bas-de-page scene
