id,Folio,Illustration title,Textual elements,Initials,Characters,Costume,Objects,Landscape,Architecture,Other
1,1r,3,,,2,,Bed and bed furnishings,Rose vines with open flowers behind bed,,The miniature is damaged
2,1v,8,,,50,White cloth around head and blue gown,,Background is geometric pattern in pink and blue,,The miniature is damaged
3,2r,10,,,111,Blue gown on vilanie,Cup,Background is geometric pattern,,The miniature is damaged
4,2r,11,,,21,White cloth around head and blue gown,,Background is geometric pattern in pink and blue,,The miniature is damaged
5,2r,12,,,9,White veil and blue gown,"Chair, chest, towel against wall, gold in chest",Background is geometric pattern in blue and pink,,The miniature is damaged
6,2v,13,,,38,Orange gown,,Background is geometric pattern in blue and pink
7,3r,14,,,107,"Brown, open-necked gown",,Background is geometric pattern in pink and blue
8,3r,15,,,110,Pink hooded robe,Chair,Background is geometric pattern in blue and pink
9,3v,16,,,86,"Long pink veil, wimple",Book held open,Background is geometric pattern in pink and blue
10,4r,17,,,95,White cloth around head and pink gown,,Figure sits against brown ground
11,5r,20,,,"2,83",Hooded robe on L'Amans,Birds on garden wall,Geometric background,Door and crenellated walls
12,6r,23,,,"Musicians, dancers",Figures in sleeveless surcoats,,Gold background
13,10r,46,,,78,Blue garment,"Fountain, tree",Geometric background
14,12r,51,,,"4,2",Crown on Amors and blue robe on L'Amans,"Tree in which Amors sits, bow and arrow",Geometric background of pink and blue
15,13r,54,,,"2,4",Crown and blue mantle on Amors and gray robe on L'Amans,,Geometric background of pink and blue
16,24v,88,,,"54,89,26",Loose gowns and robes on Honte and Peor,Club held by Dangier,Brown ground behind Dangier and tree
17,27r,95,,,60,Hooded long robe,"Chair, lecturn, book, pen",Geometric background
18,47v,93,,,"2,11",,,Geometric background,Building with closed door and crenellated walls
19,78v,165,,,"8,41",Contreinte Atenance and Fausemblant dressed as pilgrims,"Bench, staff, book",,Building with open door and crenellated walls
20,99r,202,,,"45,26",Coif on Dangier and crown on Franchise,Club and spear,Geometric background of pink and blue
