id,Folio,Illustration title,Textual elements,Initials,Characters,Costume,Objects,Landscape,Architecture,Other
1,1r,3,,"Pink M on blue ground, infilled with blue vines, red ivy leaves and two animal heads in red, white tracery on initial and ground","2,26",L'Amans is tonsured and Dangier wears a hooded garment,Bed and club,Rose bush
2,156r,La Chastelaine Walks Her Dog,,"Historiated initial: pinkish U on blue and pink ground, white tracery, orange stars on the pink ground","La Chastelaine's lover, la Chastelaine",Blue hooded garment on the lover and sleeveless outer garment and veil of La Chastelaine,White glove held by La Chastelaine's lover,Tree,Arched doorway
