id,Folio ,Illustration title,Textual elements ,Initials ,Characters,Costume,Objects,Landscape,Architecture,Other
1,250v,92,,,"2, 26, 11, defenders","doublet with wide sleeves, hose for men, gowns for women, purple doublet, red hose for L’Amans","instrument, flute, club, money bag, hat",grass,"castle, turrets, crenellations, flags",blue background
2,251r,97,,,"2, 96","purple doublet, red hose for L’Amans, red gown, blue mantle, veil, wimple for Reson",,"grass, hills",,red lozenges outlined by gold lines with gold ornament background
3,259r,161,,,"41, 4","red gown, crown for Amors, Fausemblant dressed as monk",arrow,grass,,red lozenges outlined by black lines with red and white ornament background
4,262r,313,,,"79, 2","blue tunic for L’Amans, purple gown, wimple, veil for Nature",,"two trees, ground",,purple checkerboard with alternating white and red ornament background
5,271r,70,,,"2, 3","purple tunic, red hood with liripipe for Amis, blue doublet, red hose, red hood for L’Amans",cane,grass ,,red lozenges outlined by yellow lines with alternating red and white ornament
