id,Folio,Illustration title,Textual elements,Initials,Characters,Costume,Objects,Landscape,Architecture,Other
1,1r,3,,"Blue A against pink and gold ground, infilled with orange and blue trifoliate leaves, white tracery pattern on initial",2,Long blue tunic and black cap,"Red bed furnishings and curtain behind bed, white pillow","Grass ground, open red roses and vines above bed","Checquer background in gold, pink and blue, patterns in white on pink and blue diamonds","3-sided pink, blue, and gold bar border with ivy and heart-shaped leaf extenders and another bar between columns of text, winged grotesque is part of the border in the bottom margin"
2,1r,4,,"Pink O on gold ground, infilled orange trifoliate leaves and blue vines, white tracery pattern on initial",2,Long blue tunic,"Water jug with spout hooked on stand, white cloth hanging on stand",Grass ground,"Checquer background in gold, pink and blue, patterns in white on pink and blue diamonds","3-sided pink, blue, and gold bar border with ivy and heart-shaped leaf extenders and another bar between columns of text, winged grotesque is part of the border in the bottom margin"
3,2r,"8,9,10",,"Gold initial on pink and blue ground, white tracery pattern on ground","50,42,111","Long gowns, headcloths",,Green grass ground,,Figures in grisaille
4,2r,"11,12,13",,"Gold initial on pink and blue ground, white tracery pattern on ground","21,9,38",,Sack of coins held by Covoitise,Green grass ground,,Figures in grisaille
5,3r,"14,15",,"Gold initial on pink and blue ground, white tracery pattern on ground","107,110",Loose dresses on both figures,,Green grass ground and tree,,Figures in grisaille
6,4r,"16,17",,"Gold initial on pink and blue ground, white tracery pattern on ground","86,95",Papelardie is dressed as a nun and Povreté wears a patched costume and pointed hood,"Book, crutches",Green grass ground,,Figures in grisaille
7,5r,20,,Blue initial on gold ground with trifoliate leaf infill and extenders,"2,83",,Houppelande and low-cut gown,Green grass ground and trees within garden walls,"Crenellated walls, arched entrance",Figures in grisaille
8,7r,24,,"Gold initial on pink and blue ground, white tracery pattern on ground","2,19,4","Houppelandes and doublets, leaf crowns on figures, crown on Amors",Arrows held by Amors,Green grass ground,,Figures in grisaille
9,8v,27,,Blue initial on gold ground with trifoliate leaf infill and extenders,4,"Crowns of flowers on female figures, crown and houppelande on Amors",,Brown ground
10,10v,43,,"Gold initial on pink and blue ground, white tracery pattern on ground","4,34,2","Knee-length tunics on Amors and Douz Regart, long robe on L'Amans",Bow and arrows,Ground and trees
11,12r,46,,"Gold initial on pink and blue ground, white tracery pattern on ground",78,Houppelande wih dagged sleeves,,Fountain and trees
12,13v,51,,"Gold initial on pink and blue ground, white tracery pattern on ground","4,2",Crown on Amors and houppelande on L'Amans,Bow and arrows,Rose bush with open red roses
13,15r,54,,"Gold initial on pink and blue ground, white tracery pattern on ground","4,2",Crown on Amors and on L'Amans,"Bow and arrows, chair",Brown ground
14,15v,56,,"Gold initial on pink and blue ground, white tracery pattern on ground","4,2",Crown on Amors and on L'Amans,Key held by Amors,Brown ground
15,21v,67,,"Gold initial on pink and blue ground, white tracery pattern on ground","2,26,11",L'Amans and Bel Acueil in houppelandes,Club held by Dangier,Ground and trees
16,24v,64,,"Gold initial on pink and blue ground, white tracery pattern on ground","2,11,54",Long robe on L'Amans and low-cut gown on Bel Acueil,,Brown ground
17,25v,82,,"Gold initial on pink and blue ground, white tracery pattern on ground","2,11,54",Long robe on L'Amans and low-cut gown on Bel Acueil,,Brown ground
18,28r,91,,"Gold initial on pink and blue ground, white tracery pattern on ground","Jalousie?, soldiers",Plate armor on soldiers,Bow and arrow,Brown ground,Castle with crenellated walls
19,31r,97,,,"96,2",Gown on Reson and long robe on L'Amans,,Brown ground,Tower
